,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
336,Julio Rodr\xc3\xadguez,22,123,Maj-AL,Seattle,155,714,654,102,180,37,2,32,103,47,6,175,11,0,2,14,37,10,0.275,0.333,0.485,0.818,677594,0.745,0.07299999999999995
217,Francisco Lindor,29,123,Maj-NL,New York,160,687,602,108,153,33,2,31,98,66,1,137,12,0,7,8,31,4,0.254,0.336,0.47,0.806,596019,0.734,0.07200000000000006
115,Brendan Donovan,26,187,Maj-NL,St. Louis,95,371,327,48,93,10,1,11,34,33,2,53,9,1,1,4,5,1,0.284,0.365,0.422,0.787,680977,0.715,0.07200000000000006
9,Pete Alonso,28,123,Maj-NL,New York,154,658,568,92,123,21,2,46,118,65,6,151,21,0,4,17,4,1,0.217,0.318,0.504,0.821,624413,0.893,0.07200000000000006
420,Miguel Vargas,23,208,Maj-NL,Los Angeles,81,304,256,36,50,15,4,7,32,38,1,61,4,1,4,1,3,2,0.195,0.305,0.367,0.672,678246,0.743,0.07099999999999995
388,Jack Suwinski,24,123,Maj-NL,Pittsburgh,144,534,447,63,100,21,2,26,74,75,2,172,6,0,6,2,13,2,0.224,0.339,0.454,0.793,669261,0.864,0.07099999999999995
394,Leody Taveras,24,123,Maj-AL,Texas,143,554,511,67,136,31,3,14,67,35,0,117,1,3,4,3,14,4,0.266,0.312,0.421,0.733,665750,0.803,0.07000000000000006
328,Austin Riley,26,123,Maj-NL,Atlanta,159,715,636,117,179,32,3,37,97,59,4,172,9,0,11,18,3,1,0.281,0.346,0.516,0.861,663586,0.791,0.06999999999999995
92,Garrett Cooper,32,123,Maj-NL,"Miami,San Diego",123,457,422,42,106,18,1,17,61,31,0,132,2,0,2,15,0,0,0.251,0.304,0.419,0.724,643265,0.655,0.06899999999999995
350,Carlos Santana,37,123,Maj-NL,"Milwaukee,Pittsburgh",146,619,550,78,132,33,1,23,86,65,0,104,0,0,4,11,6,0,0.24,0.318,0.429,0.747,467793,0.678,0.06899999999999995
19,Orlando Arcia,28,123,Maj-NL,Atlanta,139,533,488,66,129,25,0,17,65,39,0,102,3,0,3,14,1,0,0.264,0.321,0.42,0.741,606115,0.809,0.06800000000000006
400,Alek Thomas,23,123,Maj-NL,Arizona,125,402,374,51,86,17,5,9,39,19,1,86,4,2,3,5,9,1,0.23,0.273,0.374,0.647,677950,0.579,0.06800000000000006
429,Daniel Vogelbach,30,132,Maj-NL,New York,104,319,275,33,64,8,0,13,48,42,1,81,2,0,0,6,0,0,0.233,0.339,0.404,0.742,596129,0.674,0.06799999999999995
427,Matt Vierling,26,123,Maj-AL,Detroit,134,530,479,63,125,21,5,10,44,44,1,112,5,1,1,8,6,6,0.261,0.329,0.388,0.717,663837,0.649,0.06799999999999995
337,Jake Rogers,28,123,Maj-AL,Detroit,107,365,331,47,73,11,0,21,49,28,0,118,3,1,2,6,1,1,0.221,0.286,0.444,0.73,668670,0.662,0.06799999999999995
107,Rafael Devers,26,123,Maj-AL,Boston,153,656,580,90,157,34,0,33,100,62,10,126,11,0,3,15,5,1,0.271,0.351,0.5,0.851,646240,0.783,0.06799999999999995
85,Jazz Chisholm Jr.,25,124,Maj-NL,Miami,97,383,352,50,88,12,2,19,51,26,0,118,2,1,2,4,22,3,0.25,0.304,0.457,0.761,665862,0.694,0.06700000000000006
443,Joey Wiemer,24,138,Maj-NL,Milwaukee,132,410,367,48,75,19,0,13,42,36,0,116,5,0,2,4,11,4,0.204,0.283,0.362,0.645,686894,0.578,0.06700000000000006
28,Ji Hwan Bae,23,123,Maj-NL,Pittsburgh,111,371,334,54,77,17,2,2,32,30,0,92,2,3,2,4,24,9,0.231,0.296,0.311,0.608,678225,0.675,0.06700000000000006
220,Brandon Lowe,28,133,Maj-AL,Tampa Bay,109,436,377,58,87,15,1,21,68,50,0,119,6,0,3,8,7,0,0.231,0.328,0.443,0.771,664040,0.704,0.06700000000000006
182,Teoscar Hern\xc3\xa1ndez,30,124,Maj-AL,Seattle,160,678,625,70,161,29,2,26,93,38,2,211,8,0,7,6,7,2,0.258,0.305,0.435,0.741,606192,0.674,0.06699999999999995
170,Garrett Hampson,28,123,Maj-NL,Miami,98,252,221,30,61,12,1,3,23,23,0,67,3,3,2,3,5,0,0.276,0.349,0.38,0.73,641658,0.663,0.06699999999999995
345,Keibert Ruiz,24,123,Maj-NL,Washington,136,562,523,55,136,24,0,18,67,31,1,58,6,0,2,13,1,1,0.26,0.308,0.409,0.717,660688,0.65,0.06699999999999995
358,Jean Segura,33,185,Maj-NL,Miami,85,326,301,25,66,5,2,3,21,22,1,47,2,1,0,12,6,2,0.219,0.277,0.279,0.556,516416,0.49,0.06600000000000006
342,Amed Rosario,27,123,"Maj-AL,Maj-NL","Cleveland,Los Angeles",142,545,510,70,134,25,8,6,58,29,0,99,3,0,3,15,15,2,0.263,0.305,0.378,0.683,642708,0.618,0.06500000000000006
309,Tommy Pham,35,124,Maj-NL,"Arizona,New York",129,481,426,55,109,27,3,16,68,47,1,106,2,0,6,11,22,3,0.256,0.329,0.446,0.775,502054,0.71,0.06500000000000006
270,Max Muncy,32,123,Maj-NL,Los Angeles,135,579,482,95,102,17,1,36,105,85,4,153,6,0,6,8,1,2,0.212,0.333,0.475,0.808,571970,0.873,0.06499999999999995
317,Luke Raley,28,134,Maj-AL,Tampa Bay,118,406,357,56,89,23,3,19,49,28,0,128,18,1,2,2,14,3,0.249,0.333,0.49,0.824,670042,0.887,0.06300000000000006
458,Mike Zunino,32,232,Maj-AL,Cleveland,42,140,124,11,22,7,0,3,11,15,0,61,1,0,0,3,0,0,0.177,0.271,0.307,0.578,572287,0.64,0.062000000000000055
387,Eugenio Su\xc3\xa1rez,31,123,Maj-AL,Seattle,162,694,598,68,139,29,0,22,96,70,0,214,15,0,11,10,2,1,0.232,0.323,0.391,0.714,553993,0.652,0.061999999999999944
189,Jonathan India,26,124,Maj-NL,Cincinnati,119,529,454,78,111,23,0,17,61,52,0,109,16,0,7,13,14,2,0.245,0.338,0.408,0.746,663697,0.807,0.061000000000000054
432,LaMonte Wade Jr.,29,123,Maj-NL,San Francisco,135,519,429,64,110,14,2,17,45,76,3,95,6,4,4,4,2,0,0.256,0.373,0.417,0.79,664774,0.851,0.06099999999999994
357,Corey Seager,29,123,Maj-AL,Texas,119,536,477,88,156,42,0,33,96,49,9,88,4,0,6,9,2,1,0.327,0.39,0.623,1.013,608369,0.952,0.06099999999999994
267,Ryan Mountcastle,26,123,Maj-AL,Baltimore,115,470,423,64,114,21,1,18,68,37,1,107,3,0,7,13,3,1,0.27,0.328,0.452,0.779,663624,0.719,0.06000000000000005
250,Ryan McMahon,28,123,Maj-NL,Colorado,152,627,555,80,133,31,3,23,70,68,2,198,1,0,3,19,5,5,0.24,0.322,0.431,0.753,641857,0.812,0.05900000000000005
54,Will Brennan,25,123,Maj-AL,Cleveland,138,455,432,41,115,24,0,5,41,16,2,57,5,0,2,4,13,5,0.266,0.299,0.357,0.655,686823,0.596,0.05900000000000005
341,Brent Rooker,28,123,Maj-AL,Oakland,137,526,463,61,114,20,1,30,69,49,1,172,10,0,4,11,4,0,0.246,0.329,0.488,0.817,667670,0.876,0.05900000000000005
134,Nick Fortes,26,123,Maj-NL,Miami,108,323,294,33,60,10,0,6,26,17,0,59,7,3,2,12,4,2,0.204,0.263,0.299,0.562,663743,0.62,0.05799999999999994
58,Jake Burger,27,124,"Maj-AL,Maj-NL","Chicago,Miami",141,540,492,71,123,28,1,34,80,32,0,149,12,0,4,4,1,1,0.25,0.309,0.518,0.828,669394,0.885,0.05700000000000005
257,Jake Meyers,27,123,Maj-AL,Houston,112,341,309,42,70,16,1,10,33,26,0,88,5,0,1,2,5,2,0.227,0.296,0.382,0.678,676694,0.735,0.05699999999999994
